name,price,OCrate,neighbor,property_type,bed,bath
 Spacious 3 BDR APT Brooklyn Sleeps 12! ,$129/night, 35%  ,Flatbush ,Apartment,3,1
" Gorgeous Space, Industrial NYC Apt ",$230/night, 84%  ,Sutton Place ,Apartment,5,1
 The City Farmhouse APT A **MONTHLY RENTALS** ,$200/night, 100%  ,Woodside ,House,2,1.5
 Perfect Grand Central apartment ,$345/night, 98%  ,Midtown ,Apartment,3,1
 Cozy and small apartment. Perfect for couples. ,$151/night, 68%  ,Carnegie Hill ,Apartment,1,1
 NYC Live the NYC Bohemian lifestyle East Harlem ,$104/night, 46%  ,East Harlem ,Apartment,1,1
" Kew Gardens, New York ",$152/night, 7%  ,Briarwood ,Condominium,1,1
 Elegant Arty Studio In Brooklyn ,$158/night, 50%  ,Park Slope ,Apartment,1,1
 Family Friendly Apt in Quiet Building ,$182/night, 85%  ,Manhattanville ,Apartment,4,1
 Beautiful two bedroom apt in Crown Heights/Bedsty ,$150/night, 65%  ,Brownsville ,Apartment,2,1
" Not Fancy, but Location+Value +Cozy ! ",$89/night, 93%  ,DUMBO ,Apartment,1,1
 Luxury 2 Beds 1 Bath by  lincoln center ,$223/night, 85%  ,Upper West Side ,Apartment,3,1
" Upper West side, 2 bed 2 Bath ",$307/night, 90%  ,Upper West Side ,Apartment,2,2
 Luxury Apartment in NYC Financial District ,$198/night, 86%  ,Financial District ,Apartment,1,1
 RELAX & UNWIND - Classy Unique HOUSE for 9 People ,$208/night, 54%  ,Elm Park ,House,7,1.5
 Cozy 1 bedroom in the heart of E. Village ,$166/night, 83%  ,East Village ,Apartment,2,1
" Nice walk-in studio in  Sheepshead Bay, Brooklyn ",$89/night, 50%  ,Brighton Beach ,Apartment,1,1
 Clean Studio in Soho and Little Italy ,$125/night, 85%  ,Chinatown ,Serviced apartment,1,1
 Awesome Times Square 1 BR Loft in City Centre ,$225/night, 68%  ,Tudor City ,Apartment,1,1
" Modern, big and comfy space in the heart of NYC ",$192/night, 43%  ,East Tremont ,Apartment,3,1
 Awesome 2 Bedroom Brooklyn Apartment / Sleeps 6 ,$237/night, 67%  ,Clinton Hill ,Apartment,3,1
 Sunny and Airy FiDi Studio ,$164/night, 74%  ,Financial District ,Apartment,1,1
 Entire Historic Brownstone Apartment-Outdoor Space ,$191/night, 46%  ,Bedford Stuyvesant ,Apartment,2,1.5
 Christmas and New Year in New York City - ENJOY ,$335/night, 78%  ,Midtown ,Apartment,2,1
 Bedford-Stuyvesant Heights- 2 Bedroom-Mins to NYC ,$88/night, 81%  ,Clinton Hill ,Apartment,3,1
 Studio Space- Kitch/Bath ,$105/night, 92%  ,Borough Park ,Apartment,2,1
 Classic Artist Loft ,$235/night, 19%  ,Governors Island ,Loft,1,1
 Dupont Duplex ,$221/night, 63%  ,Blissville ,Apartment,4,2
 Huge Loft Space in Red Hook ,$153/night, 30%  ,Governors Island ,Loft,4,1
" Brooklyn Amazing Deal! Bright, Cozy Apartment ",$103/night, 92%  ,Homecrest ,Apartment,3,1
 ENTIRE APT | QUIET | heart of NY ,$132/night, 97%  ,NoHo ,Apartment,1,1
 Cozy 1 bdrm apt in the heart of hippest LES hood ,$137/night, 82%  ,DUMBO ,Apartment,1,1
" Sheepshead Bay, 1-bdr apartment. Close to all! ",$119/night, 61%  ,Brighton Beach ,Apartment,2,1
 Beautifully Decorated 1 Bedroom w/ Large Terrace ,$100/night, 70%  ,Flushing ,Condominium,1,1
 Newly Renovated/Private Apt/1-br by Park and Metro ,$116/night, 54%  ,Wingate ,Apartment,3,1
" 2 Bedrooms, kitchen and Bathroom. No Living Room ",$57/night, 93%  ,Wakefield ,Apartment,2,1
 Classic Manhattan Loft Apartment ,$147/night, 62%  ,NoHo ,Loft,2,1
 3BR in a classic 1925 BK Limestone ,$146/night, 69%  ,Wingate ,Apartment,6,1
 2 bedroom next to Times Square & Central Park ,$268/night, 79%  ,Turtle Bay ,Apartment,2,1
 Artist Studio ,$37/night, 39%  ,Woodhaven ,Apartment,1,1
 Comfort of home in the center of it all! ,$139/night, 45%  ,Clinton Hill ,Apartment,2,1
" 2400 sq. ft ART LOFT/HOME:  DINNERS, EVENTS, PHOTO ","$1,900/night", 25%  ,East Village ,Loft,2,3
 Spacious 2 bedroom apartment ,$131/night, 88%  ,Clinton Hill ,Apartment,2,1
 Beach House ,$275/night, 15%  ,Arverne ,Bungalow,5,1
 1 Bed garden apt in Classic Brownstone - sleeps4 ,$170/night, 35%  ,Bedford Stuyvesant ,Apartment,1,1
 Clinton Hill Apartment with Large Private Balcony ,$144/night, 79%  ,Clinton Hill ,Apartment,2,1
 UWS- Live like a local-2 Blocks from Central Park ,$258/night, 68%  ,Central Park ,Apartment,1,1
 Greenpoint Guesthouse with 2 Private Patios ,$156/night, 94%  ,Blissville ,Guest suite,2,1
 Cozy Basement Apartment near RUMC Hospital ,$50/night, 72%  ,Grymes Hill ,Apartment,1,1
" Single Apt,Near DNR train,Fast travel to Manhatan ",$88/night, 72%  ,Sunset Park ,Apartment,3,1
" Large, quiet luxury home in Manhattan ",$253/night, 75%  ,Clinton ,Apartment,1,1.5
 Crown Heights Guest House 2 ,$106/night, 61%  ,Wingate ,Townhouse,5,1
 Cassi's cozy studio ,$84/night, 12%  ,Rego Park ,Condominium,2,1
 Time Square Private Studio ,$180/night, 81%  ,Midtown ,Apartment,N/A,1
 CROWN HEIGHTS GUESTS HOUSE 3L ,$136/night, 71%  ,Wingate ,Townhouse,8,1
 Quiet Attic Studio in Historic Fort Green Building ,$136/night, 55%  ,Park Slope ,Apartment,1,1
 Amazing Downtown With Rooftop ,$116/night, 76%  ,DUMBO ,Apartment,1,1
 Peaceful apartment ,$82/night, 82%  ,Middle Village ,Apartment,1,1
" LOVELY 1 BEDROOM APT, BATH + KIT+ LIVING ROOM ",$78/night, 43%  ,Bushwick ,Apartment,1,1
 Modern 1 Bedroom Near Union Square & East Village ,$160/night, 73%  ,NoHo ,Apartment,2,1
 New Amazing Apartment In Washington Heights ,$162/night, 52%  ,Washington Heights ,Apartment,1,1
 Stunning Skylines! Condo Built In The Skyline ,$348/night, 84%  ,Cobble Hill ,Apartment,2,2
" Awesome Newly Renovated 2-bdrm. - E,F,J trains. ",$126/night, 57%  ,Jamaica ,Apartment,5,1.5
 1 BD cozy house near beach ,$107/night, 12%  ,Dongan Hills ,House,3,1
 1 BEDROOM CENTRAL PARK / BALCONY /COLUMBUS CIRCLE ,$190/night, 89%  ,Upper West Side ,Apartment,1,1
 Magic Manhattan with Rooftop ,$129/night, 94%  ,Lower East Side ,Apartment,1,1
" Private, elegant, apartment with beautiful garden ",$90/night, 87%  ,East Flatbush ,Apartment,1,1
 Beautiful modern apartment with private deck! ,$100/night, 81%  ,Park Slope ,Apartment,3,1
 1 BEDROOM / HIGH FLOOR / BALCONY /COLUMBUS CIRCLE ,$194/night, 91%  ,Upper West Side ,Apartment,1,1
 Crown Heights Guest House 3R3L ,$239/night, 19%  ,Wingate ,Townhouse,12,2
 Cozy 2BD APT close to subway ,$171/night, 36%  ,Clinton Hill ,House,2,1
 Charming Gowanus Brooklyn Getaway ,$114/night, 91%  ,Park Slope ,Apartment,2,1
" *Spacious* Artist Home, close to NYC, near train!! ",$134/night, 48%  ,Rego Park ,Apartment,3,1
 Spacious Studio in Residential Neighborhood ,$100/night, 18%  ,Woodhaven ,House,1,1
 Apt. & the City. ,$186/night, 95%  ,Maspeth ,Townhouse,1,1
 ☆ unique DESIGNER apt ☆ Sleeps 4 ☆ Brooklyn Museum ,$138/night, 30%  ,Wingate ,House,2,1
" TriBeCa 1BR steps from Soho, WTC, Brooklyn Bridge ",$230/night, 51%  ,DUMBO ,Condominium,1,1
 Charming One Bedroom Apt on the Upper East Side. ,$157/night, 93%  ,Carnegie Hill ,Apartment,N/A,1
" Bright, Clean, Modern 1 BR Rooftop & Gym ",$122/night, 82%  ,Blissville ,Apartment,1,1
 Regina's Dainty One bedroom Apartment close to All ,$66/night, 62%  ,Briarwood ,Apartment,1,1
 Time Square & Central Park Condo Sleeps6 ,$316/night, 81%  ,Turtle Bay ,Condominium,3,1
 La Sienna  - Studio Apartment ,$125/night, 66%  ,Harlem ,Apartment,1,1
 GiGi's Stunning Place ,$143/night, 31%  ,East New York ,Apartment,2,1
 2 BR Apt - Great Midtown location off 5th Avenue ,$200/night, 100%  ,Midtown ,Apartment,3,1
 Relaxing & cozy apt in Brooklyn mins to Manhattan ,$151/night, 44%  ,Bedford Stuyvesant ,Apartment,1,1
 Private Guest Suite  Less than 10 min to JFK :) ,$55/night, 88%  ,Jamaica ,Guest suite,1,1
 Front Studio in Loft Apartment - Steiner Studios ,$89/night, 87%  ,Clinton Hill ,Apartment,1,1
 Serene Park Slope Garden Apartment ,$190/night, 100%  ,Park Slope ,Apartment,2,1
 Beautiful Furnished 1 Bedroom apt; Wash Hts/Manhtn ,$142/night, 70%  ,Washington Heights ,Apartment,3,1
 Modern & Bright  2BR Entire Apt w/ Private Terrace ,$240/night, 85%  ,Park Slope ,Apartment,3,1
 Haven in the Heights: stylish home away from home ,$124/night, 76%  ,Wingate ,Apartment,4,1
" Cozy Two-Bedroom near Manhattan, airports & more! ",$124/night, 88%  ,East Elmhurst ,Townhouse,3,1
 Plant Loft in Heart of Greenpoint ,$104/night, 85%  ,Blissville ,Apartment,1,1
 Prospect Heights gorgeous apartment ,$150/night, 74%  ,Park Slope ,Apartment,1,1
 Mishay's Hut ,$107/night, 79%  ,Cambria Heights ,Apartment,3,1
 FLUSHING NY 20 MINUTES TO ARTHUR ASHE STADIUM ,$120/night, N/A%  ,Flushing ,Apartment,2,1
 2 bed/2 bath garden apt in heart of Bushwick ,$131/night, 77%  ,Bushwick ,Apartment,2,2
 Argyle Road Brooklyn ,$156/night, 34%  ,Flatbush ,House,3,1
 Great Upper East Side Large Apt. ,$132/night, 91%  ,Carnegie Hill ,Apartment,2,1
 2BR PH Loft and Executive Office Central Manhattan ,$463/night, 13%  ,Flatiron District ,Loft,2,1
 Haven in the Heights: stylish home away from home ,$124/night, 76%  ,Wingate ,Apartment,4,1
" Cozy Two-Bedroom near Manhattan, airports & more! ",$124/night, 88%  ,East Elmhurst ,Townhouse,3,1
 Plant Loft in Heart of Greenpoint ,$104/night, 85%  ,Blissville ,Apartment,1,1
 Prospect Heights gorgeous apartment ,$150/night, 74%  ,Park Slope ,Apartment,1,1
 Mishay's Hut ,$107/night, 79%  ,Cambria Heights ,Apartment,3,1
 FLUSHING NY 20 MINUTES TO ARTHUR ASHE STADIUM ,$120/night, N/A%  ,Flushing ,Apartment,2,1
 2 bed/2 bath garden apt in heart of Bushwick ,$131/night, 77%  ,Bushwick ,Apartment,2,2
 Argyle Road Brooklyn ,$156/night, 34%  ,Flatbush ,House,3,1
 Great Upper East Side Large Apt. ,$132/night, 91%  ,Carnegie Hill ,Apartment,2,1
 2BR PH Loft and Executive Office Central Manhattan ,$463/night, 13%  ,Flatiron District ,Loft,2,1
 A Modern Villa Suite ,$342/night, 44%  ,Hollis ,Villa,2,1
 Quiet Hells Kitchen Studio steps from Times Square ,$170/night, 53%  ,Midtown ,Apartment,2,1
 Simplicity City ,$147/night, 55%  ,East Village ,Apartment,2,1
 Your Oasis in The Bronx! ,$150/night, 38%  ,Hunts Point ,Guest suite,1,1
" Huge Brownstone duplex w/garden, Park Slope, BK,NY ",$321/night, 39%  ,Park Slope ,Apartment,5,3
 Home Sweet Home ,$110/night, 72%  ,Fort Hamilton ,Apartment,1,1
 The Haven ,$150/night, N/A%  ,Canarsie ,House,3,1
" Manhattan East Village, lower East Side ",$164/night, 89%  ,NoHo ,Apartment,3,1
" 1 Br Garden Apt own Pvt space in St.Albans,Queens ",$81/night, 45%  ,Hollis ,Apartment,3,1
" Spacious 1 bed/1 bath home, 3A ",$89/night, 57%  ,Blissville ,Apartment,2,1
 Large studio in modern building by Penn Station ,$193/night, 76%  ,Clinton ,Apartment,1,1
 Charming Quiet Entire 1 bdrm Duplex UWS + Terrace ,$226/night, 66%  ,Carnegie Hill ,Apartment,1,1.5
 Blu Suite 1BR Brownstone 1st Fl Harlem Manhattan ,$174/night, 67%  ,Harlem ,Townhouse,3,1
 2BR Apartment Queens Express Subway to Manhattan ,$70/night, 83%  ,Briarwood ,Apartment,4,1
 Basement Suite w/Private Entrance ,$147/night, 68%  ,Clinton Hill ,Apartment,1,1
" Boutique Hip Hotel Feel, WiFi, NetFlix, Private ",$99/night, 84%  ,Manhattanville ,Apartment,N/A,1
 Large and quiet 1 BR in heart of Greenpoint ,$129/night, 58%  ,Blissville ,Apartment,1,1
 Beautiful Studio Right Next To Times Square! ,$137/night, 95%  ,Clinton ,Apartment,2,1
 New York Apartment in Queens ,$110/night, 56%  ,Ozone Park ,House,1,1
 Never Stop Exploring ,$188/night, 89%  ,Hunters Point ,Apartment,3,1
 Cozy apartment in Cobble Hill ,$180/night, 54%  ,Park Slope ,Apartment,4,1
 Lincoln Center luxury studio ,$262/night, 53%  ,Upper West Side ,Apartment,1,1
" Apartment in Harlem on 145th St, next to 3 train. ",$110/night, 53%  ,Concourse ,Apartment,1,1
 Cozy suite away from home ,$68/night, 83%  ,Pelham Bay ,Apartment,1,0.5
 Beautiful urban 2BR with private deck and yard!!! ,$148/night, 76%  ,Fort Hamilton ,Apartment,2,1
 Quiet Harlem Studio w/ Backyard & Close to Train ,$79/night, 87%  ,Harlem ,Apartment,1,1
 Cozy midtown apt next to metro & Empire State bldg ,$139/night, 96%  ,Sutton Place ,Apartment,N/A,1
 Guest Suite in beautiful Brooklyn Brownstone ,$125/night, 53%  ,Blissville ,Guest suite,1,1
 Times Square Family Condo close to Central Park ,$282/night, 81%  ,Tudor City ,Apartment,4,1
 2BED 2 BATH CENTRAL PARK /BALCONY /COLUMBUS CIRCLE ,$281/night, 77%  ,Upper West Side ,Apartment,2,2
 St. James Pl Garden Apt 1block to PRATT &Gtrain ,$229/night, 39%  ,Park Slope ,House,4,1
 3 BED 2 BATH Williamsburg Brooklyn Townhouse APT ,$168/night, 74%  ,Navy Yard ,Apartment,3,2
 2 Bedroom + 2 Bathrooms | Excellent Location ,$354/night, 91%  ,Sutton Place ,Condominium,4,2
 Urban Oasis ,$78/night, 72%  ,Park Slope ,Apartment,N/A,1
 Cozy Bright 3 bedroom apt. 10 min from Manhattan. ,$187/night, 68%  ,Hunters Point ,Apartment,5,1
 Time square/ Bryant park ,$169/night, 89%  ,Midtown ,Apartment,1,1
 Size  and Comfort  Matter! ,$165/night, 56%  ,Clinton Hill ,Apartment,3,2
 Feel at Home in this Lovely 1 Bedroom in Flushing ,$101/night, 86%  ,Flushing ,Condominium,1,1
 Garden mini apt minutes from Manhattan (studio) ,$68/night, 88%  ,Rego Park ,Guest suite,2,1
 Charming home away from home ,$113/night, 44%  ,Brownsville ,House,1,1
 Unique Exposed Brick Loft Studio in Townhouse ,$69/night, 93%  ,Concourse ,Loft,1,1
 Times Square Luxe Studio with Amazing Amenities ,$188/night, 85%  ,Clinton ,Guest suite,1,1
 Perfect 1 bed apartment! 2 min from the 1 train ,$49/night, 21%  ,Midwood ,Apartment,1,1
 Private top-floor in owner occupied  Brownstone ,$286/night, 57%  ,Park Slope ,Apartment,2,1
 Cozy Entire Apartment near Time Square. ,$271/night, 77%  ,Tudor City ,Apartment,4,1
 Beach Bungalow ,$141/night, 15%  ,Arverne ,Bungalow,4,1
 H.O.M.E (House of M.D. Experience) ,$75/night, 95%  ,Woodhaven ,Apartment,2,1
 RESIDENCE NEAR JFK (TB1) ,$36/night, 43%  ,Jamaica ,Guest suite,3,1.5
 Cozy Chelsea Apartment ,$190/night, 87%  ,NoHo ,Apartment,1,1
 Cozy and Peaceful Studio Apt ,$79/night, 100%  ,Woodside ,Apartment,1,1
 JFK Walk-Up Get-Away! ,$162/night, 27%  ,Queens Village ,House,1,1
 Bright & Luxurious Studio in Financial District ,$174/night, 78%  ,Battery Park ,Apartment,1,1
 1 BR Suite Minutes to Botanic Gardens! ,$122/night, 91%  ,Wingate ,Apartment,2,1
 Cozy Mini Studio Prvt Bath & Kitchen 15 Mins JFK ,$51/night, 85%  ,Woodhaven ,Apartment,1,1
 Large Condo in Bronx near Yankee stadium & subway ,$79/night, 48%  ,East Tremont ,Apartment,3,1
 Comfort Zone/spacious condo/3 minutes from subway ,$101/night, 69%  ,East Tremont ,Apartment,4,1
 Charming studio upper east side NYC ,$110/night, 65%  ,Carnegie Hill ,Apartment,1,1
 Uptown comfy apartment ,$70/night, 92%  ,Harlem ,Apartment,2,1
" Lg Columbus Cir, King Bed Wash+Dryer;Long Stays a+ ",$284/night, 89%  ,Midtown ,Apartment,1,1
 Large Jackson Heights Apartment for Holidays ,$213/night, 13%  ,East Elmhurst ,Apartment,3,1
" Garden Oasis, Williamsburg!         ",$101/night, 100%  ,Greenpoint ,Apartment,N/A,1
" Rancho Deluxe, Williamsburg!  ",$144/night, 90%  ,Greenpoint ,Apartment,4,1
 Top floor apartment above the park ,$175/night, 10%  ,Fieldston ,Apartment,1,1
 1 Bedroom Apt. Minutes from Manhattan - No Parties ,$90/night, 83%  ,Park Slope ,Townhouse,1,1
 Nysa's castle ,$250/night, 9%  ,College Point ,House,2,2
 ★*･: Condo 3 mins to Subway & Yankee Stadium near ,$128/night, 52%  ,East Tremont ,Condominium,3,1
 Cool studio in midtown Manhattan ,$134/night, 50%  ,Sutton Place ,Other,1,1
 UPPER WEST 2BED 2BATH HIGH FLOOR/ LINCOLN CENTER ,$309/night, 71%  ,Clinton ,Apartment,2,2
 Large Studio near Central Park ,$81/night, 98%  ,Harlem ,Apartment,1,1
 Private Entrance - Private Parking ,$120/night, 44%  ,Blissville ,Apartment,N/A,1
" Garden Oasis, Williamsburg!         ",$101/night, 100%  ,Greenpoint ,Apartment,N/A,1
" Rancho Deluxe, Williamsburg!  ",$144/night, 90%  ,Greenpoint ,Apartment,4,1
 Top floor apartment above the park ,$175/night, 10%  ,Fieldston ,Apartment,1,1
 1 Bedroom Apt. Minutes from Manhattan - No Parties ,$90/night, 83%  ,Park Slope ,Townhouse,1,1
 Nysa's castle ,$250/night, 9%  ,College Point ,House,2,2
 ★*･: Condo 3 mins to Subway & Yankee Stadium near ,$128/night, 52%  ,East Tremont ,Condominium,3,1
 Cool studio in midtown Manhattan ,$134/night, 50%  ,Sutton Place ,Other,1,1
 UPPER WEST 2BED 2BATH HIGH FLOOR/ LINCOLN CENTER ,$309/night, 71%  ,Clinton ,Apartment,2,2
 Large Studio near Central Park ,$81/night, 98%  ,Harlem ,Apartment,1,1
 Private Entrance - Private Parking ,$120/night, 44%  ,Blissville ,Apartment,N/A,1
 Very Nice Apartment close to JFK Airport!! ,$108/night, 22%  ,Jamaica ,Apartment,1,1
 Very Clean Condo In the Heart Of Trendy Greenpoint ,$172/night, 49%  ,Blissville ,Apartment,3,1
" 1,600sq ft modern duplex in new harlem brownstone ",$243/night, 66%  ,East Harlem ,Townhouse,5,3
 Bright & Spacious Chinatown Loft ,$162/night, 83%  ,DUMBO ,Loft,1,1
 Private West Village apt by Washington Square Park ,$154/night, 70%  ,Greenwich Village ,Apartment,2,1
 Bed Stuy Renovated Gem ,$124/night, 45%  ,Clinton Hill ,Apartment,1,1
 Co-op Apartment in The Lombardy Hotel- 300 sq. ft. ,$211/night, 84%  ,Sutton Place ,Apartment,1,1
 Great studio apartment in brownstone building. ,$94/night, 51%  ,Washington Heights ,Apartment,1,1
 Large and Sunny 2 bedroom close to Central Park ,$300/night, 94%  ,Carnegie Hill ,Apartment,2,2
" Sunny Williamsburg Loft, minutes to Manhattan ",$169/night, 86%  ,Greenpoint ,Loft,2,1
" Modern, Quiet & Ultra Clean 1 BDRM Steps Subway ",$144/night, 68%  ,Maspeth ,Apartment,1,1
 Modern Studio 1 block away from the beach ,$101/night, 57%  ,Brighton Beach ,Apartment,3,1
 Sunset Park Studio ,$118/night, 86%  ,Sunset Park ,Apartment,1,1
" Sun Drenched, Extra Large 1 Bdrm Clinton Hill Apt ",$170/night, 41%  ,Clinton Hill ,Apartment,3,1
" Sunlit room by prospect park, catslovers only ",$84/night, 43%  ,Flatbush ,Apartment,1,1
 Luxury 1bedroom in Manhattan- UES ,$144/night, 89%  ,Carnegie Hill ,Apartment,1,1
 Designer Basement (30+Day Stay) 典雅地下房 ,$152/night, 38%  ,Murray-Hill ,Apartment,3,1
 2 Bedroom Garden Suite (3 Minutes From Train) ,$154/night, 93%  ,Brownsville ,Guest suite,3,1
 Beautiful One Bedroom in Little Italy Soho ,$110/night, 71%  ,NoHo ,Apartment,1,1
 旅客之家 ,$78/night, 76%  ,Murray-Hill ,House,1,1
 Cozy and romantic 1 bedroom apt near train ,$117/night, 73%  ,Bushwick ,Apartment,2,1
 Gramercy Park Location.. cozy and comfortable! ,$176/night, 71%  ,NoHo ,Apartment,2,1
 Classic Chelsea Brownstone 1 Bedroom ,$203/night, 91%  ,Chelsea ,Apartment,1,1
 Cozy Studio in Murray Hill ,$198/night, 64%  ,Sutton Place ,Apartment,N/A,1
 Sophisticated KING 1 Bedroom Best Location ,$122/night, 53%  ,Carnegie Hill ,Apartment,1,1
 Downtown designer apt ,$136/night, 78%  ,Chinatown ,Apartment,1,1
 Lovely Contemporary Home away from Home ,$150/night, 27%  ,Jamaica ,House,3,2
 Whole Apt/Private Entry/Free Parking ,$102/night, 73%  ,New Brighton ,Apartment,2,1
" Cozy and elegant apartment in New York, entire apt ",$104/night, 88%  ,High Bridge ,Apartment,2,1
 Spacious Prospect Heights Apartment ,$129/night, 86%  ,Park Slope ,Townhouse,1,1
 Sun-Filled Cobble Hill Loft ,$125/night, 89%  ,Red Hook ,Loft,1,1
" Colorful, Open and Spacious 1br in Inwood! ",$79/night, 57%  ,Washington Heights ,Apartment,1,1
 Cozy studio in Park Slope ,$102/night, 76%  ,Park Slope ,Apartment,1,1
 The Delano ,$87/night, 46%  ,Van Cortlandt Park ,Apartment,N/A,1
 Cozy Studio ,$100/night, 85%  ,Clinton ,Apartment,1,1
" 5 Star - 1br Oversized 12/23-26, Feb/Mar Available ",$290/night, 74%  ,Sutton Place ,Apartment,1,1
 Charming Boerum Hill Private 2 Bdrm Apt ,$209/night, 87%  ,Park Slope ,Apartment,4,1
 Clean Chinatown Studio ,$155/night, 85%  ,DUMBO ,Apartment,2,1
 <3Cozy apartment near Union Square <3 East Village ,$146/night, 39%  ,East Village ,Apartment,1,1.5
 Small studio in the heart of hells kitchen ,$125/night, 82%  ,Midtown ,Apartment,2,1
 Basin Homes ,$83/night, 54%  ,Bergen Beach ,Apartment,1,1
 Williamsburg-Greenpoint Loft ,$182/night, 90%  ,Blissville ,Apartment,2,1
 Cozy apartment ,$243/night, 37%  ,Morningside Heights ,Apartment,2,1
 Cozy Studio In Crown Heights ,$97/night, 75%  ,Clinton Hill ,Apartment,1,1
 My Little Cottage ,$65/night, 78%  ,Corona ,Tiny house,2,1
 Sunny apartment in the heart of trendy Greenpoint ,$153/night, 59%  ,Blissville ,Apartment,7,1
 PRISTINE STUDIO IN THE HEART OF THE E.  VILLAGE ,$153/night, 97%  ,NoHo ,Apartment,1,1
 Lo Studio/15 min central park/wifi+ street parking ,$78/night, 80%  ,Woodside ,Apartment,2,1
 Suite Di CLASSE East village-free Str.parking+wifi ,$137/night, 88%  ,NoHo ,Apartment,2,1
" 2017 Renovated Central Flushing, NYC法拉盛中心的新装修房Wifi ",$102/night, 80%  ,Flushing ,Condominium,2,1
 STYLISH NYC OASIS NEAR CENTRAL PARK ,$150/night, 100%  ,Upper West Side ,Apartment,2,1
 Entire Private Brownstone in Brooklyn ,$158/night, 49%  ,Fort Hamilton ,House,3,1
 INVITING BRIGHT & STYLISH STUDIO ,$87/night, 99%  ,Bushwick ,Apartment,N/A,1
 Sunny 1 bedroom apartment on quiet block ,$152/night, 88%  ,Park Slope ,Apartment,2,1
 2-bed brownstone duplex + garden ,$284/night, 84%  ,Park Slope ,Apartment,3,2.5
 Bedford Bungalow  5  min cab from Williamsburg ,$74/night, 56%  ,Clinton Hill ,Guest suite,2,1
" Near Manhattan, with ping pong! ",$148/night, 9%  ,Fieldston ,House,2,1
 1st flr full apt in private house w Free parking! ,$98/night, 69%  ,North Riverdale ,House,1,1
 High Line Sun Drenched Home ,$204/night, 49%  ,Gramercy ,Apartment,2,1
 Worlds cutest apt in Boerum Hill / Carroll Gardens ,$120/night, 66%  ,Park Slope ,Apartment,1,1
 Great location! ,$180/night, 65%  ,Hunters Point ,Apartment,1,1
" 3 bedrooms in Williamsburg, Brooklyn ",$229/night, 76%  ,Navy Yard ,Apartment,3,1
 Cozy&Quiet One Bedroom Full Unit Near F/G train ,$99/night, 45%  ,Borough Park ,Townhouse,2,1
 Private Parlour Floor ,$119/night, 53%  ,Clinton Hill ,House,2,1
 West Village Wonder -spacious 1 bed ,$275/night, 90%  ,NoHo ,Apartment,1,1
 Big Luxury Apartment by Times Square ,$300/night, 63%  ,Turtle Bay ,Apartment,1,1
 Prewar Elegant Condo Sitting Direclty by the Park ,$127/night, 90%  ,Manhattanville ,Condominium,1,1
 Beautiful renovated 1 bedroom Apt. ,$124/night, 75%  ,Park Slope ,Apartment,N/A,1
 Welcome to Brooklyn! Bed-Stuy ,$68/night, 65%  ,Bushwick ,Apartment,2,1
 Harlem Cozy Studio ,$112/night, 64%  ,Harlem ,Apartment,1,1
 Amazing loft 1200 sqft in the best of Williamsburg ,$197/night, 97%  ,Greenpoint ,Loft,2,1
 Authentic New York Artist Loft on the Bowery ,$525/night, 78%  ,Lower East Side ,Loft,3,1
 Luxury Tiny house • Ohka ,$88/night, 56%  ,Morris Park ,Guest suite,1,1
 Classic Harlem Garden Apartment ,$149/night, 67%  ,Manhattanville ,Apartment,2,1
 East Harlem 1 bed apt- central location! ,$126/night, 87%  ,East Harlem ,Apartment,1,1
 AWESOME APARTMENT mins from JFK and LGA ,$57/night, 90%  ,Hollis ,Apartment,2,1
 Prime Brownstone Brooklyn Apartment with Garden ,$147/night, 87%  ,Park Slope ,Apartment,1,1
" Sunny Chelsea 1 B.R. Hi Line, Washer/Dryer, 3 Beds ",$123/night, 72%  ,Clinton ,Apartment,3,1
 Hidden gem in Fort Greene ,$100/night, 98%  ,Clinton Hill ,Apartment,1,1
 Cozy and comfy apartment in Sunset-Newly renovated ,$122/night, 86%  ,Sunset Park ,Apartment,2,1
 Prime location.near all 20 mins to manhattan.apt1B ,$99/night, 7%  ,Corona ,House,2,1
 UES Renovated Safe Location ,$159/night, 90%  ,Sutton Place ,Apartment,2,1
 Modern Apartment on Fort Greene Park ,$139/night, 72%  ,Clinton Hill ,Apartment,2,1
 2 BDRM in Little Italy ! (15 mins from Manhattan) ,$137/night, 65%  ,West Farms ,Apartment,2,1
 The Blue House in Ft Greene ,$201/night, 75%  ,Clinton Hill ,Apartment,3,1
 Cozy 1 bedroom in AMAZING  location. ,$182/night, 76%  ,NoHo ,Apartment,1,1
 Shay's Place #2 ( Studio Apt. ) 5 mins from JFK ,$74/night, 82%  ,Springfield Gardens ,Apartment,1,1
 Gorgeous One Bedroom in Clinton Hill ,$122/night, 94%  ,Clinton Hill ,Apartment,1,1
 Bright & Large Open Studio 15 Min To Manhattan ,$91/night, 87%  ,Maspeth ,Apartment,2,1
 *Upper East Side Cozy 1 Bedroom* ,$152/night, 53%  ,Sutton Place ,Apartment,1,1
 Prime location.near all 20 mins to manhattan.apt1B ,$99/night, 7%  ,Corona ,House,2,1
 UES Renovated Safe Location ,$159/night, 90%  ,Sutton Place ,Apartment,2,1
 Modern Apartment on Fort Greene Park ,$139/night, 72%  ,Clinton Hill ,Apartment,2,1
 2 BDRM in Little Italy ! (15 mins from Manhattan) ,$137/night, 65%  ,West Farms ,Apartment,2,1
